ID,Consommable,Marque,Référence,Code CAS,Catégorie,Code NACRES,Masse unitaire (g),Matériau consommable,Masse unitaire deuxieme materiaux (g),Matériau deuxieme materiaux,Masse unitaire troisième materiaux (g),Matériau troisième materiaux,Masse emballage unitaire (g),Matériau emballage,Masse condionnement (g),Matériau conditionnement,Nbr par conditionnement,Prix du conditionnement,date d'ajout,Source/Signature,Lien / Note / Remarque,code_nacres_court,prix_ht_ijm,condt_ijm,nb_unites_ijm,prix_unitaire_ijm,designation_ijm,code_ijm,marque_ijm,score_match
1,Tube centrifugeuse 15 mL,Falcon,352096,,Consommable,"NB11 Microtubes, cryotubes, tubes a usage unique","6,7",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,,NB11,70.93,1x500,500,0.14186,"TUBE à CENTRIFUGER ""CORNING"" 15ml PP sur RACK",P097,CORNING,0.58
2,Tube centrifugeuse 50 mL,BIOLOGIX,10*9502,,Consommable,"NB11 Microtubes, cryotubes, tubes a usage unique","14,35",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,,NB11,72.06,1x500,500,0.14412,"TUBE à CENTRIFUGER ""CORNING"" 50ml PP sur RACK",P098,CORNING,0.58
3,Seringue 5 mL,Terumo,1SS05LE1,,Consommable,NB03 Seringues en plastique et aiguilles,"1,9",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,,NB03,8.62,1,1,8.62,SERINGUE STÉRILE 3ml (x100),D0492,TERUMO,0.6
4,Boite de Pétri 35 x 10 mm,Falcon,351008,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"4,6",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,,NB13,6.37,1x5,5,1.274,"BOITE de PETRI de CULTURE ""TPP"" Diam 146x20mm (x5)",T93150,TPP,0.533
5,Serological pipette 5 mL individually wrapped,Starlab,E4860-0005,,Consommable,NB04 Pipettes a usage unique,"7,9",Verre,,Verre,,,,,,,,,,Souchaud,,NB04,0.95,1x10,10,0.095,"PIPETTE de TRANSFERT 3ml Graduée, stérile (Emb/10)",P0601,DUTSCHER,0.358
6,"T-25 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4825,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"20,9",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,,NB13,0.85,1,1,0.85,PLAQUES de CULTURE SPL 6 Puits,P0674N,SPL,0.447
7,"T-75 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4175,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"60,62",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,,NB13,0.85,1,1,0.85,PLAQUES de CULTURE SPL 6 Puits,P0674N,SPL,0.447
8,"T-225 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4225,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"149,5",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,,NB13,0.85,1,1,0.85,PLAQUES de CULTURE SPL 6 Puits,P0674N,SPL,0.442
9,"200 µl Pointe TipOne®, Naturel",Starlab,S1111-0810-C,,Consommable,NB02 Pointes (cones) pour micropipettes mono-canal et multi-canaux,"0,28",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,https://www.starlabgroup.com/FR-fr/product/200-ul-pointe-tipone-naturel-pf-sl-920673.html,NB02,30.43,10x96,960,0.031698,"POINTES sans filtre ""CLEARLINE"" sur recharge, jaune, graduée 200µl",P0808,CLEARLINE,0.375
10,"1 000 µl Pointe graduée TipOne®, Bleu",Starlab,S1111-6811-C,,Consommable,NB02 Pointes (cones) pour micropipettes mono-canal et multi-canaux,"0,547",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,https://www.starlabgroup.com/FR-fr/product/1-nbsp-000-ul-pointe-graduee-tipone-bleu-pf-sl-921051.html,NB02,41.75,10x96,960,0.04349,"POINTES à FILTRE ""ART"" Low Retention 1-100µl",P1100,ART,0.395
